21
# x y z
-10	0	0
-9	0	0
-8	0	0
-7	0	0
-6	0	0
-5	0	0
-4	0	0
-3	0	0
-2	0	0
-1	0	0
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
171
# a b m n err i ip iperr k r rhoa u valid 
1	2	3	4	1.00001954673402e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.56945074646865e+01	0.00000000000000e+00	1
2	3	4	5	1.00001955123539e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.55584003103859e+01	0.00000000000000e+00	1
3	4	5	6	1.00001955835604e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.54436571447673e+01	0.00000000000000e+00	1
4	5	6	7	1.00001955425206e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.49556026401939e+01	0.00000000000000e+00	1
5	6	7	8	1.00001956207161e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.63975091142062e+01	0.00000000000000e+00	1
6	7	8	9	1.00001956962178e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.59244542754051e+01	0.00000000000000e+00	1
7	8	9	10	1.00001957999905e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.53298497398876e+01	0.00000000000000e+00	1
8	9	10	11	1.00001956255223e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.71523340304750e+01	0.00000000000000e+00	1
9	10	11	12	1.00001953078614e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.70039868171998e+01	0.00000000000000e+00	1
10	11	12	13	1.00001952830942e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.62799710081548e+01	0.00000000000000e+00	1
11	12	13	14	1.00001956563706e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.61140163027133e+01	0.00000000000000e+00	1
12	13	14	15	1.00001957785189e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.68260819316536e+01	0.00000000000000e+00	1
13	14	15	16	1.00001956765934e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.76823930971250e+01	0.00000000000000e+00	1
14	15	16	17	1.00001955607999e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.90226944874599e+01	0.00000000000000e+00	1
15	16	17	18	1.00001955640575e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.63966612993321e+01	0.00000000000000e+00	1
16	17	18	19	1.00001954558102e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.55288457378543e+01	0.00000000000000e+00	1
17	18	19	20	1.00001955092906e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.75820839535583e+01	0.00000000000000e+00	1
18	19	20	21	1.00001954838854e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-1.88495559215388e+01	0.00000000000000e+00	9.62923924895868e+01	0.00000000000000e+00	1
1	2	4	5	1.00009096542819e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-7.53982236861549e+01	0.00000000000000e+00	8.41135501357370e+01	0.00000000000000e+00	1
2	3	5	6	1.00009097711312e-02	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	-7.53982236861549e+01	0.00000000000000e+00	8.29860170067543e+01	0.00000000000000e+00	1
